Age,Tenure_Months,Total_Purchases,Avg_Purchase_Amount,Total_Spent,Support_Tickets,Complaints,Feedback_Score,Last_Purchase_Days_Ago,Renewal_Count,Gender_enc,Plan_Type_enc,Payment_Method_enc,Location_enc,CLV,Activity_Freq,Complaint_Ratio,Inactive_Flag,Churn
29,63,58,43970.45,2299173.01,7,7,4.01,163,3,1,0,0,1,35924.58,0.9062,0.1186,1,1
39,32,92,31638.33,2595828.19,8,2,2.73,108,3,1,2,0,0,78661.46,2.7879,0.0215,1,1
61,20,19,11771.87,256265.53,12,5,1.22,55,7,0,3,1,5,12203.12,0.9048,0.25,0,1
42,57,16,23691.55,316091.22,8,8,1.45,63,4,0,2,1,5,5449.85,0.2759,0.4706,0,1
44,50,75,40544.78,2929640.25,6,9,3.41,47,6,0,2,2,1,57443.93,1.4706,0.1184,0,0
59,25,8,46179.84,416824.04,8,4,2.14,116,4,1,0,3,1,16031.69,0.3077,0.4444,1,1
45,12,33,12227.3,454057.78,5,3,1.55,64,7,1,2,3,1,34927.52,2.5385,0.0882,0,0
33,71,74,27210.43,1722637.4,8,8,2.36,22,2,1,0,0,5,23925.52,1.0278,0.1067,0,0
32,39,18,8366.91,149864.06,10,3,1.8,106,0,0,2,2,4,3746.6,0.45,0.1579,1,1
64,17,35,25101.49,871464.67,1,2,1.1,77,1,1,2,3,2,48414.7,1.9444,0.0556,0,0
61,45,43,4960.65,198267.26,10,6,1.61,74,5,1,3,0,0,4310.16,0.9348,0.1364,0,1
20,11,50,47115.54,2748891.27,1,4,4.53,80,3,1,4,0,0,229074.27,4.1667,0.0784,0,0
54,70,3,32083.79,102146.5,13,0,1.05,127,1,1,0,0,0,1438.68,0.0423,0,1,1
24,23,91,42783.73,4641128.6,5,7,4.1,130,2,1,1,0,3,193380.36,3.7917,0.0761,1,1
38,70,59,49915.61,2434668,2,0,4.01,126,3,1,0,0,2,34291.1,0.831,0,1,0
26,38,28,9541.97,255884.27,1,8,3.26,114,1,1,2,3,4,6561.14,0.7179,0.2759,1,1
56,2,46,34860.1,1818530.44,7,0,1.83,115,6,1,4,0,5,606176.81,15.3333,0,1,0
35,37,64,44405.82,2754082.49,6,3,4.51,153,0,1,0,3,2,72475.86,1.6842,0.0462,1,0
21,49,70,29008.94,1837211.11,7,9,2.9,61,0,1,2,3,0,36744.22,1.4,0.1268,0,1
42,52,47,32164.97,1812778.57,5,3,1.69,5,2,0,1,0,4,34203.37,0.8868,0.0625,0,0
31,33,14,20679.72,332726.32,8,8,2.72,28,1,1,3,1,2,9786.07,0.4118,0.5333,0,1
26,22,7,33900.66,241715.99,8,0,1.78,81,2,0,3,1,5,10509.39,0.3043,0,0,0
43,5,74,20081.11,1522681.92,1,9,2.5,15,2,1,0,2,1,253780.32,12.3333,0.12,0,1
19,18,79,24092.67,1527881.84,9,8,2.99,120,2,0,0,0,2,80414.83,4.1579,0.1,1,1
37,38,31,5594.13,206783.33,4,3,2.44,38,4,0,1,2,5,5302.14,0.7949,0.0938,0,0
45,37,93,886.52,92547.09,8,6,3.63,151,0,1,3,1,1,2435.45,2.4474,0.0638,1,1
64,64,81,3229.98,213146.52,2,8,4.74,14,4,1,2,0,0,3279.18,1.2462,0.0976,0,0
24,10,51,10029.82,445295.34,4,6,2.39,32,5,0,0,1,1,40481.39,4.6364,0.1154,0,0
61,42,29,23101.89,755985.35,14,1,2.42,44,7,0,4,3,3,17581.05,0.6744,0.0333,0,0
25,48,15,1539.21,19272.7,7,5,3.95,92,4,0,3,3,4,393.32,0.3061,0.3125,1,0
64,44,90,8218.86,870412.89,1,5,3.12,118,0,0,2,1,1,19342.51,2,0.0549,1,0
52,16,76,39181.51,3573223.76,14,2,2.72,116,2,1,3,2,4,210189.63,4.4706,0.026,1,1
31,54,25,38227.24,1103403.73,5,3,4.26,123,1,0,1,0,5,20061.89,0.4545,0.1154,1,0
34,35,61,39591.65,2645880.53,10,5,4.56,116,2,1,4,2,1,73496.68,1.6944,0.0806,1,1
53,28,41,46116.28,1881148.9,3,5,3.36,102,6,0,2,0,5,64867.2,1.4138,0.119,1,0
57,2,69,6394.01,367496.35,11,0,1.74,4,2,1,2,0,0,122498.78,23,0,0,0
21,13,4,8575.42,37463.57,14,9,2.87,115,6,1,0,0,2,2675.97,0.2857,1.8,1,1
19,41,57,17010.9,929620.82,14,7,3.02,59,4,1,1,1,5,22133.83,1.3571,0.1207,0,1
23,59,31,45799.49,1459667.97,13,8,2.73,75,1,0,1,1,1,24327.8,0.5167,0.25,0,1
59,69,3,38886.15,107017.35,11,1,2.05,157,0,0,2,2,0,1528.82,0.0429,0.25,1,1
21,53,67,16544,994125.52,5,3,2.89,147,3,1,3,2,1,18409.73,1.2407,0.0441,1,0
46,45,90,4837.97,404815.89,2,5,2.79,145,6,1,2,2,3,8800.35,1.9565,0.0549,1,0
35,20,50,31010.81,1745181.8,5,1,1.84,4,0,0,2,1,4,83103.9,2.381,0.0196,0,0
43,24,17,13212.55,218008.94,6,6,4.61,172,1,0,2,1,1,8720.36,0.68,0.3333,1,1
61,61,60,26792.05,1486449.57,9,5,4.54,4,7,0,2,3,0,23974.99,0.9677,0.082,0,0
51,58,74,47119.27,3393337.49,2,7,4.04,140,0,0,2,0,0,57514.19,1.2542,0.0933,1,0
27,27,66,28844.55,1547579.14,4,6,2.6,47,4,1,2,0,2,55270.68,2.3571,0.0896,0,0
53,26,88,46229.8,4703848.91,12,9,2.48,135,7,0,3,3,4,174216.63,3.2593,0.1011,1,1
31,7,75,19955.42,1527644.2,11,0,3.87,140,1,0,4,2,5,190955.53,9.375,0,1,1
48,42,24,31850.89,643589.68,7,9,3.43,71,7,0,4,0,2,14967.2,0.5581,0.36,0,1
32,47,99,44747.55,4055064.24,14,9,3.4,54,3,0,0,3,4,84480.5,2.0625,0.09,0,1
25,53,87,29605.37,3073855.77,1,4,1.5,63,6,0,4,0,4,56923.25,1.6111,0.0455,0,0
31,59,32,30937.48,1026850.23,6,5,3.47,143,6,0,3,1,1,17114.17,0.5333,0.1515,1,0
40,38,87,35957.25,2867262.73,12,6,4.61,165,3,0,2,1,2,73519.56,2.2308,0.0682,1,1
57,69,98,44164.33,4200591.25,0,3,1.34,56,6,1,1,1,2,60008.45,1.4,0.0303,0,0
38,53,19,4864.91,83503.35,6,8,2.36,73,1,0,3,2,2,1546.36,0.3519,0.4,0,1
33,15,66,17174.54,921235.98,0,0,3.04,97,0,1,1,1,0,57577.25,4.125,0,1,0
62,26,60,20185.39,1376819.9,3,2,3.74,102,3,1,0,2,3,50993.33,2.2222,0.0328,1,0
35,48,66,45530.63,2755579.02,14,9,1.36,80,6,0,3,0,1,56236.31,1.3469,0.1343,0,1
64,19,15,47822.39,814437.55,3,1,4.49,31,5,0,2,0,5,40721.88,0.75,0.0625,0,0
41,9,85,6458.83,544291.93,11,1,1.16,15,1,1,2,0,2,54429.19,8.5,0.0116,0,0
43,64,35,6395.83,195459.93,4,0,4.43,130,1,1,3,0,4,3007.08,0.5385,0,1,0
42,54,69,46775.66,3617235.41,1,2,1.11,13,7,1,3,1,5,65767.92,1.2545,0.0286,0,0
62,51,27,15140.71,388704.46,13,9,1.61,5,6,1,2,0,5,7475.09,0.5192,0.3214,0,1
58,39,88,12469.81,1188523.73,13,4,4.2,176,1,0,1,1,4,29713.09,2.2,0.0449,1,1
46,4,7,2263.33,17980.46,11,5,4.44,161,2,1,3,0,1,3596.09,1.4,0.625,1,1
32,3,6,14142,100566.09,10,7,4.93,32,0,0,2,0,0,25141.52,1.5,1,0,1
62,64,33,34829.56,958953.58,11,3,1.46,106,1,1,4,1,2,14753.13,0.5077,0.0882,1,1
18,29,58,21588.79,1005920.31,14,0,3.11,21,1,1,3,2,3,33530.68,1.9333,0,0,1
42,11,49,26085.08,1302927.16,5,8,1.31,41,6,0,0,1,0,108577.26,4.0833,0.16,0,1
24,58,17,45906.13,706809.3,5,2,1.63,87,2,1,0,2,1,11979.82,0.2881,0.1111,0,0
26,27,42,6177.14,256233.56,13,7,1.7,166,6,1,3,3,2,9151.2,1.5,0.1628,1,1
41,21,94,4026.42,313786.47,7,3,1.25,161,4,0,2,1,1,14263.02,4.2727,0.0316,1,1
18,39,72,42670.57,3074233.99,12,2,4.57,136,7,1,1,2,1,76855.85,1.8,0.0274,1,0
61,46,40,38855.36,1320992.57,9,2,1.51,36,2,1,3,3,1,28106.22,0.8511,0.0488,0,0
25,66,46,13554.84,707969.61,11,3,3.52,33,1,0,0,2,1,10566.71,0.6866,0.0638,0,0
41,36,71,16549.59,1296981.8,0,3,3.5,29,0,0,1,1,3,35053.56,1.9189,0.0417,0,0
28,65,70,15858.75,920982.17,3,6,1.79,95,2,1,4,3,1,13954.28,1.0606,0.0845,1,0
34,63,68,32566.54,2512466.84,11,1,4.99,57,6,1,1,2,4,39257.29,1.0625,0.0145,0,0
25,35,1,3529.97,3282.81,1,7,2.39,72,1,0,4,1,1,91.19,0.0278,3.5,0,1
52,31,79,24725.38,1838340.99,10,1,4.62,90,5,0,0,2,3,57448.16,2.4688,0.0125,0,0
52,28,95,7126.71,590323.62,7,0,4.79,114,6,1,4,0,1,20355.99,3.2759,0,1,0
50,1,89,41077.06,4146187.86,11,7,4.8,115,0,0,1,0,2,2073093.93,44.5,0.0778,1,1
22,25,97,19342.82,1804734.96,3,3,4.01,171,2,0,0,0,0,69412.88,3.7308,0.0306,1,0
59,43,52,26614.82,1134211.63,13,5,2.02,126,3,1,1,3,3,25777.54,1.1818,0.0943,1,1
56,67,35,1951.22,81029.35,7,0,1.48,124,0,1,3,3,5,1191.61,0.5147,0,1,0
58,63,69,3384.08,210701.46,12,2,3.28,154,5,0,1,1,5,3292.21,1.0781,0.0286,1,1
45,51,5,33915.21,199162.16,1,6,2.44,116,1,0,3,3,2,3830.04,0.0962,1,1,0
24,2,17,38455.14,601762.25,12,6,4.32,103,0,1,3,2,3,200587.42,5.6667,0.3333,1,1
26,64,53,35646.76,2139741.19,13,7,3.98,2,0,0,4,3,0,32919.1,0.8154,0.1296,0,1
25,69,52,36982.42,2049409.25,3,1,2.11,90,1,1,3,3,4,29277.28,0.7429,0.0189,0,0
29,9,14,5678.68,90990.59,11,6,1.07,18,3,0,4,3,0,9099.06,1.4,0.4,0,1
51,2,29,34825.82,1202290.58,8,3,1.95,178,0,1,3,0,4,400763.53,9.6667,0.1,1,1
50,34,8,9496.51,87260.99,4,5,3.27,45,1,1,0,1,1,2493.17,0.2286,0.5556,0,0
40,60,98,5351.76,504262.86,5,3,1.32,15,6,1,4,3,2,8266.6,1.6066,0.0303,0,0
41,61,1,37979.46,42757.33,9,8,3.63,135,0,1,1,1,3,689.63,0.0161,4,1,1
54,31,29,44525.6,1400559.49,14,0,3.69,155,7,0,4,2,4,43767.48,0.9062,0,1,1
52,10,36,35977.14,1068056.71,14,0,1.68,40,4,0,0,1,5,97096.06,3.2727,0,0,1
61,36,51,40375.89,2413149.85,14,4,3.39,17,3,1,3,1,3,65220.27,1.3784,0.0769,0,0
57,49,37,49558.86,1808711.4,11,4,3.43,160,5,1,0,3,0,36174.23,0.74,0.1053,1,1
39,70,93,7170.42,569342.35,8,7,2.91,144,4,0,2,2,1,8018.91,1.3099,0.0745,1,1
44,49,69,48275.05,3231552.96,8,6,4.81,78,0,0,0,0,0,64631.06,1.38,0.0857,0,0
52,3,53,30259.29,1669907.24,6,2,1.43,105,3,1,0,2,4,417476.81,13.25,0.037,1,0
18,5,96,40756.03,4026741.99,10,7,2.63,82,7,0,0,0,2,671123.67,16,0.0722,0,1
52,61,52,32683.37,1750381.26,1,3,4.53,86,6,0,1,0,4,28231.96,0.8387,0.0566,0,0
54,26,88,28716.87,2280278.69,6,2,2.55,80,7,0,1,0,4,84454.77,3.2593,0.0225,0,0
64,5,83,35329.14,3087968.98,8,1,2.7,49,1,1,0,0,5,514661.5,13.8333,0.0119,0,0
31,15,12,16352.8,228213.05,1,8,3.67,49,4,0,2,1,0,14263.32,0.75,0.6154,0,0
20,16,52,46251.44,2297969.17,6,6,3.66,154,3,0,2,0,4,135174.66,3.0588,0.1132,1,1
18,1,1,6206.98,6531.19,11,4,1.09,179,6,0,4,1,2,3265.59,0.5,2,1,1
22,16,7,16242.54,102054.56,6,8,2.82,43,6,1,0,2,1,6003.21,0.4118,1,0,1
43,37,17,2042.54,28449.08,2,2,2.33,70,3,1,4,0,0,748.66,0.4474,0.1111,0,0
31,3,98,13930.49,1412003.88,5,5,3.51,71,6,0,3,3,4,353000.97,24.5,0.0505,0,0
56,52,43,11301.55,398016.27,7,7,3.22,9,0,1,2,0,3,7509.74,0.8113,0.1591,0,0
44,47,71,2956.73,228702.3,9,8,3.6,172,5,1,3,0,1,4764.63,1.4792,0.1111,1,1
26,13,17,24842.82,451105.75,7,3,3.62,90,6,1,3,0,0,32221.84,1.2143,0.1667,0,0
32,55,59,23697.48,1325070.19,13,0,2.02,2,7,1,0,0,2,23661.97,1.0536,0,0,0
32,21,3,4348.4,12582.3,2,7,1.99,164,7,0,2,3,2,571.92,0.1364,1.75,1,1
43,66,29,13461.6,455621.72,5,9,2.48,3,4,0,4,2,1,6800.32,0.4328,0.3,0,0
59,54,22,47689.45,844846.02,1,2,1.97,149,5,1,3,0,2,15360.84,0.4,0.087,1,0
30,27,38,5981.46,233051.02,13,5,3.73,9,7,1,0,3,0,8323.25,1.3571,0.1282,0,0
49,38,54,15598.42,984956.19,1,3,3.41,12,1,1,1,3,0,25255.29,1.3846,0.0545,0,0
56,58,93,2275.19,246631.2,12,5,1.87,165,2,1,2,2,5,4180.19,1.5763,0.0532,1,1
49,62,50,7869.92,406820.5,7,2,4.54,165,0,0,1,2,0,6457.47,0.7937,0.0392,1,1
21,46,69,35120.16,2308165.12,10,6,2.84,104,6,1,4,2,5,49109.9,1.4681,0.0857,1,1
47,11,30,18652.47,469796.74,9,1,1.51,56,5,1,4,3,4,39149.73,2.5,0.0323,0,0
54,8,23,22877.79,457528.69,4,4,1.85,105,3,0,4,1,2,50836.52,2.5556,0.1667,1,0
40,71,85,8270.43,753509.78,4,2,3.16,63,7,0,2,1,4,10465.41,1.1806,0.0233,0,0
56,64,90,34265.94,2487666.95,10,4,2.35,154,4,1,3,3,2,38271.8,1.3846,0.044,1,1
62,21,47,37700.32,2043716.54,3,2,4.4,46,2,1,0,0,5,92896.21,2.1364,0.0417,0,0
32,63,21,9465.05,205757.33,10,8,2.98,60,5,1,3,3,2,3214.96,0.3281,0.3636,0,1
60,64,20,2727.18,44619.81,9,7,4.66,32,7,0,2,3,2,686.46,0.3077,0.3333,0,0
46,20,23,4506.59,92862.08,3,1,1.41,91,3,1,1,2,3,4422,1.0952,0.0417,1,0
53,8,68,33023.76,2330231.65,7,7,3.67,175,4,0,0,2,4,258914.63,7.5556,0.1014,1,1
30,58,21,7207.77,123246.11,2,7,4.54,61,4,0,4,0,1,2088.92,0.3559,0.3182,0,0
49,46,21,24948.98,582605.99,10,9,2.17,94,2,1,1,3,4,12395.87,0.4468,0.4091,1,1
24,31,1,8055.76,9408.87,2,2,1.54,132,3,0,3,0,5,294.03,0.0312,1,1,0
39,9,15,8922.33,158525.88,7,9,2.83,130,2,0,0,2,2,15852.59,1.5,0.5625,1,1
45,15,17,715.84,13306.76,2,4,4.85,151,1,0,4,3,1,831.67,1.0625,0.2222,1,0
19,26,51,16380.8,954660.61,11,1,3.53,55,6,0,0,3,1,35357.8,1.8889,0.0192,0,0
59,10,63,4944.96,325328.38,1,9,3.58,41,0,0,3,1,1,29575.31,5.7273,0.1406,0,0
62,29,14,20001.08,275371.8,12,5,3.69,165,6,1,2,2,3,9179.06,0.4667,0.3333,1,1
23,36,59,30090.32,1926682.81,10,1,1.16,139,0,0,3,0,0,52072.51,1.5946,0.0167,1,1
45,37,83,18692.83,1380330.98,12,3,2.78,164,7,0,2,3,2,36324.5,2.1842,0.0357,1,1
45,71,50,35401.54,1493792.31,12,2,1.31,15,1,1,4,2,2,20747.12,0.6944,0.0392,0,0
61,23,34,37201.86,1397345.6,4,0,2.26,101,3,1,3,0,4,58222.73,1.4167,0,1,0
61,41,6,34982.02,248360.01,10,7,4.29,67,2,0,3,1,1,5913.33,0.1429,1,0,1
37,28,49,46867.32,2367671.21,2,7,3.63,112,7,1,3,2,3,81643.83,1.6897,0.14,1,0
47,48,6,12246.07,72963.31,5,0,4.98,158,0,1,3,0,1,1489.05,0.1224,0,1,0
28,38,69,9878.09,690968.33,10,5,1.69,57,7,1,2,3,4,17717.14,1.7692,0.0714,0,1
45,31,7,30680.72,212914.97,6,0,2.59,33,1,1,2,2,0,6653.59,0.2188,0,0,0
42,14,97,29946.41,2837643.27,2,8,4.24,65,4,1,1,1,2,189176.22,6.4667,0.0816,0,0
56,29,77,25749.87,2337281.98,8,0,1.86,1,5,0,4,2,1,77909.4,2.5667,0,0,0
50,51,51,715.48,36194.26,9,2,1.61,131,6,1,4,0,2,696.04,0.9808,0.0385,1,0
18,49,1,27984.29,23295.27,0,8,2.71,9,5,1,2,0,4,465.91,0.02,4,0,0
44,43,13,46673.5,671197.04,13,0,2.53,32,0,0,1,2,5,15254.48,0.2955,0,0,1
30,5,43,17061.6,701826.34,6,1,4.92,77,0,1,1,2,0,116971.06,7.1667,0.0227,0,0
58,42,27,48396.16,1416821.31,3,3,2.83,45,1,0,3,0,3,32949.33,0.6279,0.1071,0,0
20,7,71,18159.46,1330357.54,6,6,4.44,95,7,1,1,3,0,166294.69,8.875,0.0833,1,0
56,42,3,7422.8,24167.26,8,7,4.55,21,2,0,4,0,5,562.03,0.0698,1.75,0,0
23,36,58,20220.97,967335.97,8,0,1.63,23,0,1,0,2,3,26144.22,1.5676,0,0,0
25,27,89,24983.26,1808935.18,0,0,3.86,154,2,0,2,3,1,64604.83,3.1786,0,1,0
44,58,97,31658.49,2921680.05,9,4,2.11,117,7,0,3,1,5,49520,1.6441,0.0408,1,1
26,46,17,25491.47,466838.78,12,7,1.38,104,5,0,1,0,0,9932.74,0.3617,0.3889,1,1
54,66,45,27067.57,1083414.37,11,0,4.5,30,1,0,2,1,1,16170.36,0.6716,0,0,0
50,25,78,1691.32,128408.45,3,2,2.17,115,4,1,2,3,0,4938.79,3,0.0253,1,0
59,27,58,13054.2,902760.45,6,5,2.38,69,0,1,2,1,1,32241.44,2.0714,0.0847,0,1
61,1,56,15879.48,787831.89,9,0,2.3,152,6,1,4,1,4,393915.94,28,0,1,0
41,42,54,49360.88,3036463.26,5,2,1.8,74,7,1,3,3,4,70615.42,1.2558,0.0364,0,0
32,52,87,15130.6,1487732.26,14,0,2.74,64,5,1,0,3,3,28070.42,1.6415,0,0,0
49,25,88,44880.65,4567755.25,8,3,2.71,163,2,0,3,0,0,175682.89,3.3846,0.0337,1,1
49,54,29,15584.44,526997.94,12,8,2.64,150,2,0,1,1,5,9581.78,0.5273,0.2667,1,1
41,67,54,5257.46,284734.2,6,4,4.67,39,6,1,3,2,0,4187.27,0.7941,0.0727,0,0
58,6,27,12757.06,369506.81,14,2,2.36,55,7,1,4,2,5,52786.69,3.8571,0.0714,0,1
29,58,45,14005.01,660196.45,2,9,1.12,7,5,0,0,3,3,11189.77,0.7627,0.1957,0,0
56,70,87,48923.31,3931056.53,6,6,1.71,39,5,0,3,2,5,55366.99,1.2254,0.0682,0,1
19,53,31,33877.43,957693.46,9,5,3.89,148,3,1,1,0,1,17735.06,0.5741,0.1562,1,1
20,66,36,46618.21,1571901.1,13,8,3.36,104,7,1,3,3,0,23461.21,0.5373,0.2162,1,1
54,58,81,41832.25,3006820,4,3,4.81,96,6,1,4,3,3,50963.05,1.3729,0.0366,1,0
34,2,61,29140.63,1960585.89,13,3,3.78,143,2,0,2,1,3,653528.63,20.3333,0.0484,1,1
19,22,37,33931.7,1488776.46,1,8,1.78,149,6,0,4,3,0,64729.41,1.6087,0.2105,1,1
19,37,67,31429.44,2415550.01,9,1,1.48,34,7,0,4,2,2,63567.11,1.7632,0.0147,0,0
45,20,36,33480.02,1069296.32,2,9,3.08,35,5,0,4,3,5,50918.87,1.7143,0.2432,0,1
40,24,5,13606.3,55837.94,5,1,3.66,115,5,1,0,1,1,2233.52,0.2,0.1667,1,0
54,65,46,20702.19,1050233.24,12,8,1.66,5,5,1,3,0,2,15912.62,0.697,0.1702,0,0
49,65,79,29834.48,2253421.04,5,6,3.41,56,2,1,1,2,2,34142.74,1.197,0.075,0,0
50,1,52,2278.46,133863.89,6,4,4.46,83,1,1,2,3,5,66931.95,26,0.0755,0,0
18,3,49,24400.33,1329159.57,5,4,3.91,7,2,0,2,0,1,332289.89,12.25,0.08,0,0
36,46,6,43056.48,271298.24,8,8,3.66,53,3,1,0,1,4,5772.3,0.1277,1.1429,0,1
19,55,10,24872.2,224381.03,13,9,4.16,172,4,1,1,1,0,4006.8,0.1786,0.8182,1,1
61,64,96,27840.01,2249332.61,4,4,1.42,106,3,0,2,0,5,34605.12,1.4769,0.0412,1,0
43,45,23,10494.3,217487.77,14,8,1.82,42,6,1,1,1,3,4728,0.5,0.3333,0,1
49,26,17,39820,679582.61,4,7,1.15,18,5,0,1,1,0,25169.73,0.6296,0.3889,0,0
23,65,84,18264.48,1828455.81,7,5,1.58,6,4,1,3,1,2,27703.88,1.2727,0.0588,0,0
49,24,44,47851.08,1737994.21,7,4,4.65,132,0,1,0,1,5,69519.77,1.76,0.0889,1,1
21,35,41,49688.88,1792833.57,0,4,1.89,142,4,0,4,3,4,49800.93,1.1389,0.0952,1,0
28,24,15,45842.03,722638.89,2,4,3.65,169,7,0,4,0,4,28905.56,0.6,0.25,1,1
34,28,44,4701.4,190673.76,12,0,3.77,175,4,0,2,0,0,6574.96,1.5172,0,1,1
55,16,58,16992.57,1126901.11,5,4,3.58,97,6,0,2,1,5,66288.3,3.4118,0.0678,1,0
41,59,86,47284.31,3479933.66,5,2,3.22,53,6,1,0,1,2,57998.89,1.4333,0.023,0,0
22,54,50,40324.4,2389750.87,0,5,2.94,21,7,0,3,0,1,43450.02,0.9091,0.098,0,0
51,16,52,45603.59,2762546.67,1,8,2.68,141,5,1,2,3,3,162502.75,3.0588,0.1509,1,1
23,15,70,28841.38,2331849.29,9,2,4.67,143,5,1,2,2,4,145740.58,4.375,0.0282,1,1
39,11,68,24279.68,1435110.69,6,0,1.04,99,3,1,1,3,3,119592.56,5.6667,0,1,0
28,65,63,5771.57,338810.08,0,7,1.21,173,1,0,0,3,2,5133.49,0.9545,0.1094,1,1
33,68,58,42053.84,2735814.61,9,8,2.97,84,1,1,4,2,0,39649.49,0.8406,0.1356,0,1
50,43,23,37384.51,965710.38,4,9,2.32,174,4,0,0,1,2,21947.96,0.5227,0.375,1,1
26,69,44,3414.39,162562.91,0,3,2.63,131,3,0,4,3,4,2322.33,0.6286,0.0667,1,0
23,13,83,10866.02,883139.1,5,9,4.99,145,7,1,1,1,0,63081.36,5.9286,0.1071,1,1
33,10,95,28085.24,2467018.44,14,4,4.1,145,1,1,3,2,3,224274.4,8.6364,0.0417,1,1
46,41,44,34377.92,1792741.77,6,2,4.51,20,1,1,4,3,4,42684.33,1.0476,0.0444,0,0
20,50,52,7314.68,325478.71,7,7,2.47,4,7,1,1,2,0,6381.94,1.0196,0.1321,0,0
37,71,67,12618.83,691166.16,12,2,1.96,75,6,1,3,0,0,9599.53,0.9306,0.0294,0,0
53,59,28,10058.96,226349.25,11,3,4.07,15,3,1,1,1,3,3772.49,0.4667,0.1034,0,0
36,39,67,11389.86,847072.03,2,9,4.23,57,4,0,3,3,5,21176.8,1.675,0.1324,0,0
43,3,78,46075.3,2956615.14,13,6,3.2,173,5,1,2,0,2,739153.79,19.5,0.0759,1,1
20,7,18,35933.07,656793.04,13,1,4.58,27,0,0,3,3,5,82099.13,2.25,0.0526,0,0
36,49,27,36986.8,945632.46,2,0,4.87,20,3,1,4,1,5,18912.65,0.54,0,0,0
37,26,51,39802.77,1743238.68,10,3,2.88,108,5,1,3,1,5,64564.4,1.8889,0.0577,1,1
49,33,60,18150.37,1193827.44,0,7,1.89,79,3,0,0,0,5,35112.57,1.7647,0.1148,0,0
24,48,74,38475.64,2340403.91,11,0,3.07,134,3,1,3,1,2,47763.35,1.5102,0,1,1
58,2,49,48931.46,2223471.09,2,9,4.96,18,4,0,1,2,5,741157.03,16.3333,0.18,0,0
50,71,15,35070.52,539144.2,4,2,2.17,86,4,0,4,2,2,7488.11,0.2083,0.125,0,0
57,32,83,21129.28,1685275.57,5,3,3.47,49,6,1,2,0,4,51068.96,2.5152,0.0357,0,0
56,4,73,35959.81,2372165.33,2,3,3.78,152,5,1,2,2,0,474433.07,14.6,0.0405,1,0
35,20,68,45089.34,3588535.37,3,2,1.86,11,3,1,1,1,1,170882.64,3.2381,0.029,0,0
